location,date,vaccine,total_vaccinations
Germany,2021-01-30,Oxford/AstraZeneca,228
Germany,2021-02-27,Oxford/AstraZeneca,462395
Germany,2021-03-30,Oxford/AstraZeneca,2979505
Germany,2021-04-29,Oxford/AstraZeneca,5818610
Germany,2021-05-31,Oxford/AstraZeneca,9360422
Germany,2021-06-30,Oxford/AstraZeneca,11700819
Germany,2021-07-31,Oxford/AstraZeneca,12608094
Germany,2021-08-31,Oxford/AstraZeneca,12741285
Germany,2021-09-30,Oxford/AstraZeneca,12764421
Germany,2021-10-31,Oxford/AstraZeneca,12768231
Germany,2021-11-30,Oxford/AstraZeneca,12772495
Germany,2021-12-31,Oxford/AstraZeneca,12777512
Germany,2022-01-31,Oxford/AstraZeneca,12784000
Germany,2022-02-28,Oxford/AstraZeneca,12786975
Germany,2022-03-31,Oxford/AstraZeneca,12789788
Germany,2022-04-30,Oxford/AstraZeneca,12792402
Germany,2022-05-31,Oxford/AstraZeneca,12794307
Germany,2022-06-30,Oxford/AstraZeneca,12794626
Germany,2022-07-31,Oxford/AstraZeneca,12794744
