location,date,vaccine,total_vaccinations
Germany,2021-01-30,Oxford/AstraZeneca,228
Germany,2021-02-27,Oxford/AstraZeneca,462167
Germany,2021-03-30,Oxford/AstraZeneca,2517110
Germany,2021-04-29,Oxford/AstraZeneca,2839105
Germany,2021-05-31,Oxford/AstraZeneca,3541812
Germany,2021-06-30,Oxford/AstraZeneca,2340397
Germany,2021-07-31,Oxford/AstraZeneca,907275
Germany,2021-08-31,Oxford/AstraZeneca,133191
Germany,2021-09-30,Oxford/AstraZeneca,23136
Germany,2021-10-31,Oxford/AstraZeneca,3810
Germany,2021-11-30,Oxford/AstraZeneca,4264
Germany,2021-12-31,Oxford/AstraZeneca,5017
Germany,2022-01-31,Oxford/AstraZeneca,6488
Germany,2022-02-28,Oxford/AstraZeneca,2975
Germany,2022-03-31,Oxford/AstraZeneca,2813
Germany,2022-04-30,Oxford/AstraZeneca,2614
Germany,2022-05-31,Oxford/AstraZeneca,1905
Germany,2022-06-30,Oxford/AstraZeneca,319
Germany,2022-07-31,Oxford/AstraZeneca,118
