location,date,vaccine,total_vaccinations
Germany,2021-01-31,Johnson&Johnson,37
Germany,2021-02-28,Johnson&Johnson,61
Germany,2021-03-31,Johnson&Johnson,25
Germany,2021-04-30,Johnson&Johnson,3605
Germany,2021-05-31,Johnson&Johnson,525301
Germany,2021-06-30,Johnson&Johnson,1504012
Germany,2021-07-31,Johnson&Johnson,483952
Germany,2021-08-31,Johnson&Johnson,440538
Germany,2021-09-30,Johnson&Johnson,337157
Germany,2021-10-31,Johnson&Johnson,121817
Germany,2021-11-30,Johnson&Johnson,175901
Germany,2021-12-31,Johnson&Johnson,103350
Germany,2022-01-31,Johnson&Johnson,29582
Germany,2022-02-28,Johnson&Johnson,9400
Germany,2022-03-31,Johnson&Johnson,6566
Germany,2022-04-30,Johnson&Johnson,3041
Germany,2022-05-31,Johnson&Johnson,1761
Germany,2022-06-30,Johnson&Johnson,1201
Germany,2022-07-31,Johnson&Johnson,2500
