location,date,vaccine,total_vaccinations
Germany,2021-01-31,Moderna,40264
Germany,2021-02-28,Moderna,197396
Germany,2021-03-31,Moderna,739644
Germany,2021-04-30,Moderna,1776348
Germany,2021-05-31,Moderna,4056214
Germany,2021-06-30,Moderna,6538669
Germany,2021-07-31,Moderna,8515190
Germany,2021-08-31,Moderna,9402951
Germany,2021-09-30,Moderna,9667477
Germany,2021-10-31,Moderna,9790267
Germany,2021-11-30,Moderna,10783088
Germany,2021-12-31,Moderna,23189799
Germany,2022-01-31,Moderna,28917116
Germany,2022-02-28,Moderna,29882490
Germany,2022-03-31,Moderna,30575126
Germany,2022-04-30,Moderna,30932676
Germany,2022-05-31,Moderna,31109186
Germany,2022-06-30,Moderna,31230437
Germany,2022-07-31,Moderna,31366396
