location,date,vaccine,vaccinations
Germany,2021-01-31,Moderna,40264
Germany,2021-02-28,Moderna,157132
Germany,2021-03-31,Moderna,542248
Germany,2021-04-30,Moderna,1036704
Germany,2021-05-31,Moderna,53518
Germany,2021-06-30,Moderna,22589
Germany,2021-07-31,Moderna,1976521
Germany,2021-08-31,Moderna,887761
Germany,2021-09-30,Moderna,264526
Germany,2021-10-31,Moderna,122790
Germany,2021-11-30,Moderna,992821
Germany,2021-12-31,Moderna,12406711
Germany,2022-01-31,Moderna,5727317
Germany,2022-02-28,Moderna,965374
Germany,2022-03-31,Moderna,692636
Germany,2022-04-30,Moderna,357550
Germany,2022-05-31,Moderna,176510
Germany,2022-06-30,Moderna,121251
Germany,2022-07-31,Moderna,135959
