location,date,vaccine,total_vaccinations
Germany,2021-01-31,Pfizer/BioNTech,2505070
Germany,2021-02-28,Pfizer/BioNTech,5645449
Germany,2021-03-31,Pfizer/BioNTech,10444373
Germany,2021-04-30,Pfizer/BioNTech,22317162
Germany,2021-05-31,Pfizer/BioNTech,37445517
Germany,2021-06-30,Pfizer/BioNTech,56446440
Germany,2021-07-31,Pfizer/BioNTech,70622397
Germany,2021-08-31,Pfizer/BioNTech,78673289
Germany,2021-09-30,Pfizer/BioNTech,84107843
Germany,2021-10-31,Pfizer/BioNTech,88124931
Germany,2021-11-30,Pfizer/BioNTech,99735414
Germany,2021-12-31,Pfizer/BioNTech,114222189
Germany,2022-01-31,Pfizer/BioNTech,123607209
Germany,2022-02-28,Pfizer/BioNTech,127779175
Germany,2022-03-31,Pfizer/BioNTech,130976615
Germany,2022-04-30,Pfizer/BioNTech,132889383
Germany,2022-05-31,Pfizer/BioNTech,134125466
Germany,2022-06-30,Pfizer/BioNTech,134974427
Germany,2022-07-31,Pfizer/BioNTech,135884017
