location,date,vaccine,total_vaccinations
Germany,2021-01-31,Pfizer/BioNTech,2505070
Germany,2021-02-28,Pfizer/BioNTech,3140379
Germany,2021-03-31,Pfizer/BioNTech,4798924
Germany,2021-04-30,Pfizer/BioNTech,11872789
Germany,2021-05-31,Pfizer/BioNTech,15128355
Germany,2021-06-30,Pfizer/BioNTech,19000923
Germany,2021-07-31,Pfizer/BioNTech,14175957
Germany,2021-08-31,Pfizer/BioNTech,8050892
Germany,2021-09-30,Pfizer/BioNTech,5434554
Germany,2021-10-31,Pfizer/BioNTech,4017088
Germany,2021-11-30,Pfizer/BioNTech,11610483
Germany,2021-12-31,Pfizer/BioNTech,14486775
Germany,2022-01-31,Pfizer/BioNTech,9385020
Germany,2022-02-28,Pfizer/BioNTech,4171966
Germany,2022-03-31,Pfizer/BioNTech,3197440
Germany,2022-04-30,Pfizer/BioNTech,1912768
Germany,2022-05-31,Pfizer/BioNTech,1236083
Germany,2022-06-30,Pfizer/BioNTech,2085044
Germany,2022-07-31,Pfizer/BioNTech,909590
